"id","tyc","gaia","hyg","hip","hd","hr","gl","bayer","flam","con","proper","ra","dec","pos_src","dist","x0","y0","z0","dist_src","mag","absmag","ci","mag_src","rv","rv_src","pm_ra","pm_dec","pm_src","vx","vy","vz","spect","spect_src"
"2183027","8785-1898-1","","100425","100751","193924","7790","","Alp","","Pav","Peacock","20.42745823","-56.73488071","T","54.8246","17.85","-24.201","-45.841","HIP","1.94","-1.755","-0.118","HIP","2.0","HYG","7.71","-86.15","HYG","-8.849","15.373","-13.953","B2.5 V","T"
"2187123","6333-2129-2","6860902877441851136","100555","100881","194636","7814","","Pi","10","Cap","","20.45533611","-18.21172389","T","198.8442","113.225","-151.186","-62.145","G_R3","5.08","-1.413","-0.049","HIP","-16.664","G_R3","16.56","-17.375","G_R3","-0.063","26.124","-10.349","B3/5 V","T"
"2189473","4597-1693-1","2298389355466272256","100639","100965","196787","7901","","","75","Dra","","20.47071831","81.42270933","T","133.2651","11.978","-15.861","131.775","G_R3","5.38","-0.244","1.01","HIP","-4.466","G_R3","32.763","16.039","G_R3","10.077","21.001","-2.905","G9III","T"
"2190994","6333-2128-1","6860945174279114880","100701","101027","194943","7822","Gl 791.1A","Rho","11","Cap","","20.48100543","-17.8137256","T","30.0936","17.328","-22.817","-9.206","G_R3","4.77","2.378","0.386","HIP","18.4","HYG","-16.889","-10.579","G_R3","8.397","-15.04","-7.066","F3 V","T"
"2192305","2685-1920-1","1860951540586100864","100750","101076","195295","7834","","","41","Cyg","","20.4899263","30.368555","T","328.5356","171.964","-225.336","166.095","G_R3","4.01","-3.573","0.404","HIP","-18.266","G_R3","6.113","-0.914","G_R3","-1.556","17.732","-10.463","F2IB","T"
"2192925","5167-2593-1","4225598836822831360","100775","101101","195135","7831","","","69","Aql","","20.49416665","-2.88553365","T","59.2428","35.947","-46.996","-2.982","G_R3","4.91","1.047","1.16","HIP","-22.795","G_R3","70.287","-22.559","G_R3","1.654","30.329","-5.18","K1/2 III","T"
"2193956","3581-2031-1","2083947891862120192","100812","101138","195556","7844","","Ome-1","45","Cyg","","20.50098341","48.95156859","T","392.7945","157.081","-204.603","296.228","G_R3","4.94","-3.031","-0.087","HIP","-22.0","HYG","10.058","6.873","G_R3","0.18","30.52","-8.187","B2V","T"
"2192749","4237-2168-1","2243479676058593152","100767","101093","195725","7850","","The","2","Cep","","20.493015","62.994105","HIP_X","42.5876","11.7439","-15.3633","37.9442","G_R3","4.21","1.064","0.199","HIP","-7.0","HYG","34.798","-13.904","G_R3","5.17","4.805","-7.511","A7III","HYG"
"2197479","4459-947-1","2277996747665651968","100934","101260","196502","7879","","","73","Dra","","20.52511594","74.9546214","T","116.5645","18.578","-23.884","112.569","G_R3","5.18","-0.153","0.1","HIP","9.0","HYG","7.257","-17.26","G_R3","10.254","-6.652","6.216","A2P","T"
"2197006","3581-2030-1","2180033354016699136","100917","101243","195774","7851","","Ome-2","46","Cyg","","20.52189346","49.22029351","T","139.2119","55.765","-71.818","105.415","G_R3","5.44","-0.278","1.566","HIP","-64.432","G_R3","8.959","-32.092","G_R3","-11.305","24.199","-62.623","M1","T"
"2203242","2694-2168-1","2056616231822305280","101148","101474","196093","7866","","","47","Cyg","","20.56505177","35.25085332","T","1137.3976","577.9074","-727.1589","656.4569","G_R3","4.61","-5.67","1.593","HIP","-4.0","HYG","-3.612","-4.166","G_R3","-9.213","-19.709","-20.652","K2IB+B","T"
"2201580","1096-1684-1","1755320049747788160","101095","101421","195810","7852","","Eps","2","Del","Aldulfin","20.553547","11.303263","HIP_X","112.1718","68.1774","-86.3178","21.9855","G_R3","4.03","-1.219","-0.123","HIP","-19.0","HYG","10.915","-19.606","G_R3","-5.727","16.615","-13.947","B6III","HYG"
"2203271","7962-1389-1","6675723472684914560","101151","101477","195569","7846","","Nu","","Mic","","20.56529753","-44.51604942","T","77.3032","34.298","-43.151","-54.198","G_R3","5.12","0.679","0.999","HIP","10.848","G_R3","11.56","-35.355","G_R3","2.477","3.692","-16.844","K0 III","T"
"2203349","1096-1682-1","1756148222519224192","101156","101483","195943","7858","","Eta","3","Del","","20.56584449","13.02727179","T","55.1159","33.4183","-42.0307","12.4242","G_R3","5.39","1.684","0.093","HIP","-21.85","G_R3","69.654","39.707","G_R3","-0.459","29.819","5.182","A2V","T"
"2206664","1100-1719-1","1804510069668710400","101263","101589","196180","7871","","Zet","4","Del","","20.58848235","14.67421103","T","66.9162","40.586","-50.43","16.951","G_R3","4.64","0.512","0.12","HIP","-27.68","G_R3","45.504","11.51","G_R3","-6.123","30.631","-3.48","A3V","T"
"2210024","5180-338-1","4225681162758186240","101365","101692","196321","7873","","","70","Aql","","20.61212006","-2.54995537","T","244.9497","154.602","-189.684","-10.898","G_R3","4.91","-2.035","1.606","HIP","-9.56","G_R3","10.862","-15.416","G_R3","3.24","15.989","-17.457","K3 III","T"
"2207318","9100-1712-1","6454999399628150016","101285","101612","195627","7848","","Phi-1","","Pav","","20.59301421","-60.58174899","T","28.073","8.658","-10.732","-24.453","G_R3","4.75","2.509","0.291","HIP","-17.586","G_R3","69.912","-185.861","G_R3","-11.71","29.333","3.169","F0 V","T"
"2211936","1100-1720-1","1810448909928688640","101442","101769","196524","7882","","Bet","6","Del","Rotanev","20.62581554","14.59511021","T","30.931","18.994","-23.134","7.794","HIP","3.64","1.188","0.425","HIP","-23.0","HYG","118.28","-47.65","HYG","0.397","26.847","-12.557","F5III","T"
"2212507","1096-1683-1","1754631755466911360","101472","101800","196544","7883","","Iot","5","Del","","20.63031073","11.37767251","T","60.0681","37.421","-45.469","11.85","G_R3","5.42","1.527","0.05","HIP","-15.054","G_R3","38.867","-8.609","G_R3","-0.526","18.055","-5.373","A2V","T"
